id,timestamp,total_questions,correct_answers,total_score,duration_taken,quiz_id,user_id
1,2025-07-27T09:53:24.973371,1,0,0.0,13,1,2
2,2025-07-27T12:21:17.088271,2,1,1.0,11,2,2
